DateTime,RECORD,BattV_Min,PTemp_C_Max,AirTC_Max,AirTC_Min,AirTC_Avg,RH_Max,RH_Min,WS_ms_Max,WS_ms_Min,WS_ms_Avg,WindDir,Rain_mm_Tot
12/07/2022 14:10:00,0,13.63,43.45,113.7,65.86,82.4,54.03,7.116,1.568,0,0.749,19.92,0
12/07/2022 14:20:00,1,13.62,43.66,115.7,71.54,82.2,48.69,6.605,1.764,0.461,0.947,5.222,0
12/07/2022 14:30:00,2,13.61,43.87,115.1,65.69,83.2,45.97,22.44,2.479,0.549,1.563,46.22,0
12/07/2022 14:40:00,3,13.6,43.97,103.6,63.58,83.7,36.91,9.94,2.421,0.372,1.556,37.28,0
12/07/2022 14:50:00,4,13.6,44.02,110.3,67.49,80.9,48.83,7.457,2.479,0,0.954,87.6,0
12/07/2022 15:00:00,5,13.59,44.13,114.9,73.01,83.3,45.59,5.89,4.371,0.333,1.824,67.66,0
12/07/2022 15:10:00,6,13.59,44.13,109.7,68.31,82,43.28,32.01,6.282,2.411,4.361,61.33,0
12/07/2022 15:20:00,7,13.6,43.81,110.2,65.48,81.7,58.77,21.62,7.507,3.371,5.779,67.42,0
12/07/2022 15:30:00,8,13.62,43.1,112.1,67.59,81.5,42.36,13.04,9.01,4.812,6.445,64.55,0
12/07/2022 15:40:00,9,13.64,42.3,111.3,67.83,82.6,55.09,18.69,8.37,4.665,6.824,63.41,0
12/07/2022 15:50:00,10,13.66,41.57,116.6,65.92,81.2,44.5,13.93,9.45,5.243,7.177,52.72,0
12/07/2022 16:00:00,11,13.67,40.82,107.6,65.75,81.8,48.14,30,8.71,5.439,6.898,55.99,0
12/07/2022 16:10:00,12,13.69,40.21,107,66.77,83,42.32,18.18,8.28,4.655,6.076,46.99,0
12/07/2022 16:20:00,13,13.69,39.75,114.4,66.93,83,53.04,14.26,7.595,3.783,5.842,39.69,0
12/07/2022 16:30:00,14,13.7,39.44,114.2,69.21,82.2,44.19,14.2,8.29,4.322,6.442,50.83,0
12/07/2022 16:40:00,15,13.7,39.08,109.8,65.02,82,54.06,7.762,9.97,5.37,7.863,57.67,0
12/07/2022 16:50:00,16,13.72,38.73,112.4,66.83,84.3,53,7.966,10.09,6.595,8.32,63.04,0
12/07/2022 17:00:00,17,13.73,38.29,103.6,68.43,80.9,52.19,8.85,10.75,6.752,8.24,64.29,0
12/07/2022 17:10:00,18,13.74,37.86,116.7,68.8,84.4,48.65,7.421,9.59,6.595,7.898,63.62,0
12/07/2022 17:20:00,19,13.75,37.44,115,67.88,83.8,54.57,21.62,9.5,6.115,8.06,72.41,0
12/07/2022 17:30:00,20,13.76,36.98,106.1,68.73,83.2,52.97,23.46,9.47,6.076,8.02,78.41,0
12/07/2022 17:40:00,21,13.77,36.61,111.4,66.93,83.4,46.23,13.96,10.36,5.527,7.617,76.96,0
12/07/2022 17:50:00,22,13.78,36.24,111.6,66.45,84,52.36,25.19,9.28,5.851,7.23,65.02,0
12/07/2022 18:00:00,23,13.79,35.92,108,66.89,81.6,42.62,18.76,8.4,3.91,6.526,62.33,0
12/07/2022 18:10:00,24,13.79,35.59,115.5,67.27,84.9,53.07,18.93,7.389,4.841,6.276,46.21,0
12/07/2022 18:20:00,25,13.61,35.28,117,64.85,85.1,52.15,14.98,7.82,4.155,6.253,51.77,0
12/07/2022 18:30:00,26,13.18,34.96,117,68.6,83.1,59.06,10.72,8.13,4.9,6.315,42.3,0
12/07/2022 18:40:00,27,13.03,34.69,115,57.31,80.1,47.15,24.05,8.34,5.067,6.703,59.32,0
12/07/2022 18:50:00,28,12.98,39.53,124,64.87,81.6,53.16,21.23,7.977,5.047,6.769,63.03,0
12/07/2022 19:00:00,29,12.95,39.17,108.6,55.55,80.6,61.49,7.614,7.752,3.861,6.251,59.97,0
12/07/2022 19:10:00,30,12.94,38.99,114.9,58.16,82.1,53.26,8.36,7.379,2.871,5.016,67.37,0
12/07/2022 19:20:00,31,12.91,37.91,110.4,53.8,81.2,68.64,17.17,6.301,2.754,4.82,64.27,0
12/07/2022 19:30:00,32,12.89,37.14,112.7,63.16,83.2,47.9,9.65,4.439,1.235,2.824,67.74,0
12/07/2022 19:40:00,33,12.88,37.4,109,59.21,81.6,59.94,9.88,4.929,1.284,3.173,50.05,0
12/07/2022 19:50:00,34,12.85,37.02,122.4,57.7,84.4,60.77,19.52,3.871,1.254,2.666,42.53,0
12/07/2022 20:00:00,35,12.85,36.04,123.3,61.41,83.1,58.37,6.45,2.832,0.412,1.804,70.27,0
12/07/2022 20:10:00,36,12.84,35.92,106.2,53.96,81,64.25,6.621,4.851,0.431,2.346,23.25,0
12/07/2022 20:20:00,37,12.84,31.72,108.5,53.85,79.94,43.01,26.97,3.724,0.931,2.215,355,0
12/07/2022 20:30:00,38,12.83,35.84,124.5,54.16,81.9,61.12,7.778,2.842,0.382,1.662,29.19,0
12/07/2022 20:40:00,39,12.81,35.44,122.3,59.1,82.3,64.52,9.61,4.038,0.706,1.802,43.06,0
12/07/2022 20:50:00,40,12.82,35.32,114.6,53.91,79.9,52.67,10.71,2.675,0.02,0.958,198.8,0
12/07/2022 21:00:00,41,12.82,35.08,112.9,57.24,80.2,39.8,8.56,1.352,0,0.582,2.417,0
12/07/2022 21:10:00,42,12.8,34.85,106.2,65.16,81.6,46.58,5.328,1.539,0,0.689,269.3,0
12/07/2022 21:20:00,43,12.8,34.61,120,54.95,80.1,45.18,7.607,2.519,0.48,1.344,301,0
12/07/2022 21:30:00,44,12.8,34.5,123.2,64.07,80.9,64.38,10.87,1.98,0,0.821,282.4,0
12/07/2022 21:40:00,45,12.79,33.85,119.6,69.51,81.8,46.68,7.233,0.735,0,0.134,244,0
